"Outcome","Outcome_Name","F_value","Group_p","R_squared","Adj_R_squared","Significant"
"fmd_percent","Flow-Mediated Dilation",4.59078590957959,0.0604808907114494,0.454948301422327,0.355847992590023,FALSE
"fmd_shear_baseline","Baseline Shear",0.0357237887901531,0.894964543767446,0.00645331850958565,-0.17419153267049,FALSE
"fmd_shear_maximum","Maximum Shear",0.200716117659547,0.756636338404769,0.0352089305127426,-0.14020762757585,FALSE
"fmd_velocity_baseline","Baseline Velocity",0.0902638151664967,0.780767362783104,0.0177326398874563,-0.178720832135052,FALSE
"fmd_velocity_maximum","Maximum Velocity",0.148423178327332,0.761982363365866,0.0288288614176337,-0.16540536629884,FALSE
"fmd_shear_areatomaximum","Shear Area to Maximum",1.3774168042708,0.464967738799757,0.200281129306492,0.0548776982713088,FALSE
"fmd_shear_auc","Shear AUC",1.7017591821908,0.0951709320973522,0.23629770714898,0.0974427448124303,FALSE
"cpet_sbp_sitting","Sitting Systolic BP",3.64962948094175,0.810000682229079,0.39888276225215,0.289588719025268,FALSE
"cpet_dbp_sitting","Sitting Diastolic BP",6.20422139041394,0.90362389759102,0.530084076801158,0.444644818037732,FALSE
"cpet_vo2peak_relative","VO2 Peak (mL/kig/min)",22.5326361215136,0.0607267502434721,0.803800114403831,0.7681274079318,FALSE
"cpet_vo2peak_absolute","VO2 Peak (L/min)",26.8231809889088,0.0366701919095857,0.829843479764964,0.798905930631321,TRUE
"cpet_vevo2","VE/VO2 at Peak",14.6603993396247,0.587168539377001,0.745681666296436,0.694817999555723,FALSE
"cpet_vevco2slope_peak","VE/VCO2 Slope at Peak",14.2168834452793,0.416203859752413,0.73981212852554,0.687774554230648,FALSE
"cpet_vevco2slope_at_vslope","VE/VCO2 Slope at VT",9.32541816923171,0.114062732813913,0.674512557600992,0.602182014845657,FALSE
"cpet_vevco2_peak","VE/VCO2 at Peak",18.1459734649663,0.121392823199289,0.783979705689718,0.740775646827661,FALSE
"cpet_vevco2_at_vslope","VE/VCO2 at VT",16.9568401756967,0.332294199903381,0.772280530349976,0.726736636419971,FALSE
"cpet_ve","VE",18.610211724832,0.0285648937938838,0.788227227342427,0.745872672810913,TRUE
"cpet_rr_peak","Peak Respiratory Rate",102.9275423076,0.336020352191472,0.949274880874852,0.940052131943007,FALSE
"cpet_vt_peak","Peak Tidal Volume",4.41650308615047,0.113177002918977,0.445369002336985,0.344527002761891,FALSE
"cpet_o2pulse","Peak O2 Pulse",7.73787177134365,0.0526422148841758,0.607469749283512,0.528963699140214,FALSE
