"outcome","predictor","best_model","interaction_term","interaction_beta","interaction_se","interaction_t","interaction_p","marginal_r2","conditional_r2","N_observations","N_subjects","covariates_used"
"fss_sum","mip","random_intercept_slope","resp_value:condition",-0.0985988928230801,0.064330900080316,-1.53268324708625,0.130633973814117,0.259340538108872,0.9129639969485,80,22,"data_age, subject_female"
"fss_sum","smip","random_intercept","resp_value:condition",-0.0022956106524154,0.0105991819676513,-0.216583757069329,0.829251544092227,0.303488016065547,0.78238530539607,80,22,"data_age, subject_female"
"fss_sum","fit","random_intercept","resp_value:condition",0.0811272009431394,0.190518747010306,0.425822666883018,0.671616655609565,0.263310443315879,0.765350075372264,80,22,"data_age, subject_female"
"fss_sum","id","random_intercept","resp_value:condition",0.994399545796075,0.292880312937358,3.39524202164029,0.00159416242281898,0.323128386115041,0.914033437464057,58,17,"data_age, subject_female"
"fss_sum","slopesmip","random_intercept","resp_value:condition",-0.238516229170118,0.0627447851854991,-3.80137135643969,0.000459908033665128,0.300978555173968,0.88778756294037,58,17,"data_age, subject_female"
"fss_sum","sindex","random_intercept","resp_value:condition",0.0449232301903143,0.0896495806508257,0.501098051593624,0.618097816926679,0.343757751168504,0.794285494541123,78,22,"data_age, subject_female"
"fss_sum","pif","random_intercept","resp_value:condition",0.3126502747839,1.52298240656085,0.205288172363013,0.838031138010274,0.346480485260448,0.799606162727184,78,22,"data_age, subject_female"
"fss_sum","volume","random_intercept_slope","resp_value:condition",1.42848964545508,2.19946491540626,0.649471439825728,0.51872864297411,0.472509416865992,0.992654047404689,78,22,"data_age, subject_female"
"woods_sum","mip","random_intercept_slope","resp_value:condition",-0.0308686173853851,0.0343300197441389,-0.899172724497345,0.372684918445824,0.153935552556941,0.959877180820114,80,22,"data_age, subject_female"
"woods_sum","smip","random_intercept","resp_value:condition",-0.0160867821530534,0.00651154228007691,-2.47050260308889,0.0163457198488215,0.137964169710152,0.804130377932665,80,22,"data_age, subject_female"
"woods_sum","fit","random_intercept","resp_value:condition",-0.186477411933213,0.118358509474218,-1.57553024925372,0.120034030767212,0.117014755466226,0.788142427060455,80,22,"data_age, subject_female"
"woods_sum","id","random_intercept_slope","resp_value:condition",0.0572905245087791,0.0975075944581034,0.587549357844075,0.561690188197067,0.157873591342697,0.986533227161565,58,17,"data_age, subject_female"
"woods_sum","slopesmip","random_intercept_slope","resp_value:condition",-0.0191946038641901,0.0148741449139427,-1.29046771933743,0.207858631266025,0.410723141942749,0.996884570130782,58,17,"data_age, subject_female"
"woods_sum","sindex","random_intercept_slope","resp_value:condition",-0.109187810700524,0.0437567404819043,-2.49533693547577,0.0155833478598386,0.319681096213854,0.983235937328497,78,22,"data_age, subject_female"
"woods_sum","pif","random_intercept_slope","resp_value:condition",-2.03213680982122,0.744552593998975,-2.72933950697379,0.00849225339915872,0.316540273842365,0.983708311657743,78,22,"data_age, subject_female"
"woods_sum","volume","random_intercept_slope","resp_value:condition",1.24161195753696,1.28303085482752,0.967717925773402,0.337796284766782,0.481070401332869,0.997314814083977,78,22,"data_age, subject_female"
"dsq_sum","mip","random_intercept_slope","resp_value:condition",-0.13288175068391,0.0399635098848647,-3.32507707823322,0.00159623471485261,0.132492735727627,0.969224247411351,80,22,"data_age, subject_female"
"dsq_sum","smip","random_intercept_slope","resp_value:condition",-0.0276084569945417,0.00604654683465504,-4.56598745523763,3.51370242048875e-05,0.166195203928536,0.951812867984196,80,22,"data_age, subject_female"
"dsq_sum","fit","random_intercept","resp_value:condition",-0.112154053075157,0.146909848641135,-0.76342092863442,0.448030266268872,0.111384312334938,0.830668685066517,80,22,"data_age, subject_female"
"dsq_sum","id","random_intercept","resp_value:condition",0.0134949096354727,0.315339776456068,0.0427948221031124,0.966061070343468,0.306301593265502,0.793882412723943,58,17,"data_age, subject_female"
"dsq_sum","slopesmip","random_intercept","resp_value:condition",0.0535846527283728,0.0645982423939801,0.829506357178633,0.411152948375325,0.323615697566955,0.789836491237479,58,17,"data_age, subject_female"
"dsq_sum","sindex","random_intercept_slope","resp_value:condition",-0.0279087393153002,0.0501449577834734,-0.556561228664516,0.580172455835543,0.221337863233622,0.982801223081306,78,22,"data_age, subject_female"
"dsq_sum","pif","random_intercept_slope","resp_value:condition",-0.232645947728694,0.862040436750268,-0.269878230545339,0.788258247530069,0.219004981226265,0.982800172254779,78,22,"data_age, subject_female"
"dsq_sum","volume","random_intercept","resp_value:condition",-0.672788127053061,1.60537949593429,-0.419083543023274,0.676614699496528,0.122711043176132,0.833744759014838,78,22,"data_age, subject_female"
